package,version,relationship,license,status
"immediate","3.0.6","transitive","MIT","MIT"
"import-fresh","3.3.1","transitive","MIT","MIT"
"imurmurhash","0.1.4","transitive","MIT","MIT"
"indent-string","4.0.0","transitive","MIT","MIT"
"inherits","2.0.4","transitive","ISC","FLAGGED"
"internal-slot","1.1.0","transitive","MIT","MIT"
"intl-messageformat","11.2.14","transitive","BSD-3-Clause","FLAGGED"
"ipaddr.js","1.9.1","transitive","MIT","MIT"
"is-array-buffer","3.0.5","transitive","MIT","MIT"
"is-async-function","2.1.1","transitive","MIT","MIT"
"is-bigint","1.1.0","transitive","MIT","MIT"
"is-binary-path","2.1.0","transitive","MIT","MIT"
"is-boolean-object","1.2.2","transitive","MIT","MIT"
