package,version,relationship,license,status
"@smithy/protocol-http","5.6.2","transitive","Apache-2.0","FLAGGED"
"@smithy/signature-v4","5.7.3","transitive","Apache-2.0","FLAGGED"
"@smithy/smithy-client","4.15.2","transitive","Apache-2.0","FLAGGED"
"@smithy/types","4.17.2","transitive","Apache-2.0","FLAGGED"
"@smithy/url-parser","4.5.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-base64","4.6.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-body-length-browser","4.5.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-body-length-node","4.5.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-buffer-from","2.2.0","transitive","Apache-2.0","FLAGGED"
"@smithy/util-defaults-mode-browser","4.6.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-defaults-mode-node","4.5.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-endpoints","3.7.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-middleware","4.5.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-retry","4.6.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-stream","4.8.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-utf8","2.3.0","transitive","Apache-2.0","FLAGGED"
"@smithy/util-utf8","2.3.0","transitive","Apache-2.0","FLAGGED"
"@smithy/util-utf8","2.3.0","transitive","Apache-2.0","FLAGGED"
"@smithy/util-utf8","4.5.2","transitive","Apache-2.0","FLAGGED"
"@smithy/util-waiter","4.6.2","transitive","Apache-2.0","FLAGGED"
"@speed-highlight/core","1.2.24","transitive","CC0-1.0","FLAGGED"
"@standard-schema/spec","1.1.0","transitive","MIT","MIT"
"@standard-schema/utils","0.3.0","transitive","MIT","MIT"
"@swc/core","1.16.1","transitive","Apache-2.0","FLAGGED"
"@swc/core-darwin-arm64","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-darwin-x64","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-linux-arm-gnueabihf","1.16.1","transitive","Apache-2.0","FLAGGED"
"@swc/core-linux-arm64-gnu","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-linux-arm64-musl","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-linux-ppc64-gnu","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-linux-s390x-gnu","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-linux-x64-gnu","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-linux-x64-musl","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-win32-arm64-msvc","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
"@swc/core-win32-ia32-msvc","1.16.1","transitive","Apache-2.0 AND MIT","FLAGGED"
